city,storeCount,coordinateMissingCount,districtNullCount
新北市,1230,4,0
台北市,977,3,0
台中市,936,9,3
桃園市,862,8,0
高雄市,757,5,0
台南市,612,1,1
彰化縣,272,3,0
新竹縣,226,0,0
屏東縣,206,2,0
新竹市,179,0,0
苗栗縣,175,1,0
雲林縣,145,2,0
宜蘭縣,137,0,0
花蓮縣,117,1,0
嘉義縣,115,0,0
南投縣,115,0,0
基隆市,99,0,0
台東縣,76,0,0
嘉義市,73,0,0
澎湖縣,39,0,0
金門縣,27,0,0
連江縣,11,0,0
